fasttext_raw,cosnet,concat,w0,w1,relation
0.3316027522087097,1.5935118198394775,0.9625572562217712,unnecessary,necessary,1
0.2525401711463928,0.8988794088363647,0.5757098197937012,specific,general,1
0.39708149433135986,1.6258039474487305,1.0114426612854004,specific,nonspecific,1
0.42912137508392334,1.2384705543518066,0.833795964717865,no,some,1
0.46271073818206787,1.4898498058319092,0.9762802124023438,no,all,1
0.2621791958808899,0.4551406502723694,0.3586599826812744,all,some,1
0.3194425702095032,0.8269385099411011,0.5731905698776245,legal,illegal,1
0.19244998693466187,0.420187771320343,0.30631887912750244,classical,classic,0
0.20716512203216553,0.8751661777496338,0.5411657094955444,classical,nonclassical,1
0.20024555921554565,0.3818666338920593,0.29105597734451294,social,societal,0
0.37720435857772827,1.426314115524292,0.901759147644043,social,unsocial,1
0.223269522190094,0.06390124559402466,0.14358538389205933,communist,communistic,0
0.283294677734375,0.7929707765579224,0.5381327271461487,used,misused,1
0.32831209897994995,0.2578510046005249,0.2930816411972046,latter,former,1
0.3519367575645447,1.6218830347061157,0.9869099259376526,moral,immoral,1
0.4598644971847534,0.3496565818786621,0.404760479927063,civil,polite,0
0.3432813882827759,0.13191348314285278,0.23759740591049194,civil,civic,0
0.4467082619667053,1.2318294048309326,0.8392688035964966,civil,uncivil,1
0.7193475961685181,0.5996932983398438,0.6595205068588257,civil,sidereal,1
0.4431840181350708,0.4924396872520447,0.4678117036819458,french,gallic,0
0.5903664827346802,0.7453294396400452,0.6678479313850403,even,uneven,1
0.47683185338974,0.9857423901557922,0.7312871217727661,even,odd,1
0.3654647469520569,1.7277525663375854,1.0466086864471436,formed,unformed,1
0.147793710231781,0.11741715669631958,0.13260555267333984,reduced,decreased,0
0.15397858619689941,1.4838409423828125,0.818909764289856,reduced,increased,1
0.11343717575073242,1.1911789178848267,0.6523081064224243,more,less,1
0.24693292379379272,1.8014799356460571,1.0242063999176025,more,fewer,1
0.22505855560302734,1.585503101348877,0.9052808284759521,local,national,1
0.34502094984054565,1.2017784118652344,0.7733997106552124,local,general,1
0.26097530126571655,1.8040666580200195,1.0325210094451904,supportive,unsupportive,1
0.2525401711463928,0.8988794088363647,0.5757098197937012,general,specific,1
0.3827642798423767,0.44418567419052124,0.4134748578071594,right,correct,0
0.336331844329834,1.42952561378479,0.882928729057312,right,left,1
0.558702826499939,1.6714078187942505,1.1150553226470947,right,incorrect,1
0.3122822642326355,1.714559555053711,1.013420820236206,right,wrong,1
0.5020763874053955,0.11232590675354004,0.3072012662887573,right,center,1
0.21784240007400513,0.4080849289894104,0.31296372413635254,permissible,allowable,0
0.17505508661270142,1.6977884769439697,0.9364217519760132,permissible,impermissible,1
0.1643182635307312,0.08707737922668457,0.12569797039031982,international,national,1
0.2140958309173584,1.7094478607177734,0.9617718458175659,accessible,inaccessible,1
0.1982821226119995,1.5916942358016968,0.8949881196022034,major,minor,1
0.24468189477920532,1.382183313369751,0.8134326338768005,concerned,unconcerned,1
0.3000788688659668,1.644526720046997,0.9723028540611267,extended,unextended,1
0.48796021938323975,0.035802364349365234,0.2618812322616577,incompatible,uncongenial,0
0.48551517724990845,0.5210630893707275,0.5032891035079956,incompatible,antagonistic,0
0.5499997138977051,1.8949002027511597,1.2224498987197876,incompatible,congenial,1
0.19645226001739502,1.862316608428955,1.0293844938278198,incompatible,compatible,1
0.5205935835838318,1.4635703563690186,0.9920819401741028,incompatible,synergistic,1
0.24132752418518066,1.6918820142745972,0.9666047692298889,greater,lesser,1
0.19645226001739502,1.862316608428955,1.0293844938278198,compatible,incompatible,1
0.22505855560302734,1.585503101348877,0.9052808284759521,national,local,1
